dataset	estimator	LT+TL_average_precision	LT+TL_average_precision_rank	LT+TL_average_precision_victories	LT+TL_roc_auc	LT+TL_roc_auc_rank	LT+TL_roc_auc_victories	TT_average_precision	TT_average_precision_rank	TT_average_precision_victories	TT_roc_auc	TT_roc_auc_rank	TT_roc_auc_victories	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories
all_datasets	mse_random__70	0.44 (0.25)	0.46 (0.32)	0.0 (0.0)	0.49 (0.25)	0.46 (0.3)	0.0 (0.0)	0.47 (0.12)	0.38 (0.14)	0.0 (0.0)	0.59 (0.2)	0.63 (0.32)	0.2 (0.42)	0.8 (0.1)	0.81 (0.1)	0.0 (0.0)	0.81 (0.1)	0.81 (0.1)	0.0 (0.0)
all_datasets	mse_size__70	0.47 (0.19)	0.48 (0.24)	0.0 (0.0)	0.57 (0.18)	0.57 (0.23)	0.0 (0.0)	0.54 (0.12)	0.51 (0.26)	0.0 (0.0)	0.63 (0.14)	0.71 (0.21)	0.1 (0.32)	0.64 (0.21)	0.65 (0.21)	0.0 (0.0)	0.64 (0.21)	0.64 (0.21)	0.0 (0.0)
davis	ad_density__70	0.29 (0.03)	0.28 (0.15)	0.0 (0.0)	0.74 (0.02)	0.2 (0.09)	0.0 (0.0)	0.19 (0.06)	0.6 (0.26)	0.0 (0.0)	0.69 (0.04)	0.34 (0.25)	0.0 (0.0)	5.98 (0.33)	0.3 (0.04)	0.0 (0.0)	5.64 (0.33)	0.3 (0.04)	0.0 (0.0)
davis	ad_fixed__70	0.29 (0.04)	0.29 (0.22)	0.0 (0.0)	0.74 (0.02)	0.19 (0.11)	0.0 (0.0)	0.19 (0.06)	0.58 (0.25)	0.06 (0.25)	0.69 (0.05)	0.38 (0.27)	0.0 (0.0)	<b>5.48 (0.35)</b>	<b>0.1 (0.03)</b>	<b>0.0 (0.0)</b>	<b>5.14 (0.37)</b>	<b>0.1 (0.03)</b>	<b>0.0 (0.0)</b>
davis	ad_random__70	0.29 (0.03)	0.41 (0.21)	0.0 (0.0)	0.75 (0.02)	0.28 (0.14)	0.0 (0.0)	0.19 (0.05)	0.62 (0.25)	0.06 (0.25)	0.7 (0.05)	0.54 (0.31)	0.19 (0.4)	5.9 (0.33)	0.28 (0.04)	0.0 (0.0)	5.58 (0.34)	0.28 (0.04)	0.0 (0.0)
davis	ad_size__70	0.3 (0.03)	0.47 (0.16)	0.0 (0.0)	0.75 (0.02)	0.4 (0.18)	0.0 (0.0)	0.19 (0.06)	0.46 (0.2)	0.0 (0.0)	0.69 (0.05)	0.35 (0.2)	0.0 (0.0)	5.68 (0.29)	0.15 (0.03)	0.0 (0.0)	5.36 (0.3)	0.15 (0.03)	0.0 (0.0)
davis	md_density__70	0.3 (0.03)	0.57 (0.29)	0.06 (0.25)	0.77 (0.03)	0.72 (0.24)	0.12 (0.34)	0.18 (0.06)	0.45 (0.35)	0.06 (0.25)	0.7 (0.04)	0.43 (0.25)	0.0 (0.0)	9.14 (0.45)	0.62 (0.04)	0.0 (0.0)	8.8 (0.42)	0.62 (0.04)	0.0 (0.0)
davis	md_fixed__70	<b>0.31 (0.03)</b>	<b>0.87 (0.13)</b>	<b>0.38 (0.5)</b>	0.76 (0.02)	0.59 (0.18)	0.06 (0.25)	0.2 (0.06)	0.68 (0.28)	0.25 (0.45)	0.71 (0.04)	0.6 (0.22)	0.0 (0.0)	9.04 (0.65)	0.62 (0.05)	0.0 (0.0)	8.73 (0.68)	0.62 (0.05)	0.0 (0.0)
davis	md_random__70	0.31 (0.03)	0.72 (0.23)	0.0 (0.0)	<b>0.77 (0.02)</b>	<b>0.84 (0.14)</b>	<b>0.12 (0.34)</b>	0.19 (0.06)	0.53 (0.36)	0.06 (0.25)	<b>0.72 (0.05)</b>	<b>0.68 (0.29)</b>	<b>0.19 (0.4)</b>	8.05 (0.37)	0.51 (0.02)	0.0 (0.0)	7.71 (0.36)	0.51 (0.02)	0.0 (0.0)
davis	md_size__70	<b>0.31 (0.03)</b>	<b>0.8 (0.21)</b>	<b>0.31 (0.48)</b>	<b>0.77 (0.03)</b>	<b>0.88 (0.12)</b>	<b>0.25 (0.45)</b>	0.19 (0.06)	0.57 (0.31)	0.12 (0.34)	0.72 (0.05)	0.65 (0.22)	0.12 (0.34)	6.86 (0.26)	0.42 (0.0)	0.0 (0.0)	6.52 (0.23)	0.42 (0.0)	0.0 (0.0)
davis	mse_density__70	0.3 (0.03)	0.66 (0.31)	0.19 (0.4)	0.77 (0.03)	0.74 (0.17)	0.19 (0.4)	0.18 (0.06)	0.39 (0.27)	0.06 (0.25)	<b>0.73 (0.06)</b>	<b>0.7 (0.33)</b>	<b>0.25 (0.45)</b>	24.33 (1.21)	1.0 (0.0)	1.0 (0.0)	24.03 (1.23)	1.0 (0.0)	1.0 (0.0)
davis	mse_fixed__70	0.29 (0.03)	0.36 (0.24)	0.0 (0.0)	0.75 (0.02)	0.31 (0.16)	0.0 (0.0)	0.19 (0.06)	0.5 (0.25)	0.06 (0.25)	0.69 (0.05)	0.32 (0.16)	0.0 (0.0)	11.79 (0.8)	0.75 (0.0)	0.0 (0.0)	11.44 (0.8)	0.75 (0.0)	0.0 (0.0)
davis	mse_random__70	0.3 (0.03)	0.57 (0.3)	0.06 (0.25)	0.76 (0.03)	0.67 (0.15)	0.06 (0.25)	0.19 (0.06)	0.55 (0.28)	0.06 (0.25)	<b>0.72 (0.04)</b>	<b>0.71 (0.23)</b>	<b>0.19 (0.4)</b>	17.07 (0.98)	0.92 (0.0)	0.0 (0.0)	16.76 (0.99)	0.92 (0.0)	0.0 (0.0)
davis	mse_size__70	0.29 (0.03)	0.48 (0.21)	0.0 (0.0)	0.77 (0.03)	0.68 (0.23)	0.19 (0.4)	0.19 (0.07)	0.56 (0.33)	0.19 (0.4)	<b>0.73 (0.04)</b>	<b>0.79 (0.17)</b>	<b>0.06 (0.25)</b>	13.21 (0.78)	0.83 (0.0)	0.0 (0.0)	12.89 (0.77)	0.83 (0.0)	0.0 (0.0)
enzymes	ad_density__70	0.36 (0.04)	0.73 (0.14)	0.06 (0.25)	0.73 (0.02)	0.23 (0.12)	0.0 (0.0)	0.14 (0.05)	0.73 (0.13)	0.06 (0.25)	0.63 (0.04)	0.47 (0.19)	0.0 (0.0)	40.82 (2.52)	0.32 (0.09)	0.0 (0.0)	31.26 (2.25)	0.35 (0.05)	0.0 (0.0)
enzymes	ad_fixed__70	0.36 (0.04)	0.82 (0.11)	0.06 (0.25)	0.74 (0.03)	0.33 (0.07)	0.0 (0.0)	<b>0.15 (0.06)</b>	<b>0.77 (0.18)</b>	<b>0.25 (0.45)</b>	0.64 (0.05)	0.45 (0.26)	0.06 (0.25)	41.46 (1.9)	0.37 (0.07)	0.0 (0.0)	31.86 (2.04)	0.38 (0.07)	0.0 (0.0)
enzymes	ad_random__70	0.36 (0.04)	0.74 (0.15)	0.06 (0.25)	0.73 (0.02)	0.26 (0.09)	0.0 (0.0)	<b>0.15 (0.05)</b>	<b>0.86 (0.15)</b>	<b>0.25 (0.45)</b>	0.63 (0.04)	0.37 (0.2)	0.0 (0.0)	39.91 (1.69)	0.24 (0.1)	0.0 (0.0)	29.37 (1.69)	0.22 (0.07)	0.0 (0.0)
enzymes	ad_size__70	0.36 (0.04)	0.79 (0.18)	0.19 (0.4)	0.73 (0.03)	0.27 (0.14)	0.0 (0.0)	<b>0.15 (0.06)</b>	<b>0.81 (0.15)</b>	<b>0.19 (0.4)</b>	0.64 (0.04)	0.42 (0.17)	0.0 (0.0)	<b>37.55 (2.69)</b>	<b>0.14 (0.08)</b>	<b>0.0 (0.0)</b>	<b>27.99 (2.41)</b>	<b>0.12 (0.05)</b>	<b>0.0 (0.0)</b>
enzymes	md_density__70	0.23 (0.03)	0.08 (0.0)	0.0 (0.0)	0.76 (0.03)	0.64 (0.1)	0.0 (0.0)	0.03 (0.01)	0.09 (0.04)	0.0 (0.0)	0.6 (0.02)	0.27 (0.28)	0.06 (0.25)	53.76 (1.97)	0.58 (0.0)	0.0 (0.0)	44.08 (1.74)	0.58 (0.0)	0.0 (0.0)
enzymes	md_fixed__70	<b>0.37 (0.04)</b>	<b>0.9 (0.14)</b>	<b>0.56 (0.51)</b>	0.75 (0.03)	0.52 (0.04)	0.0 (0.0)	0.13 (0.05)	0.7 (0.18)	0.12 (0.34)	0.65 (0.03)	0.57 (0.17)	0.0 (0.0)	72.13 (4.02)	0.72 (0.04)	0.0 (0.0)	63.23 (3.09)	0.72 (0.04)	0.0 (0.0)
enzymes	md_random__70	0.28 (0.04)	0.17 (0.0)	0.0 (0.0)	0.77 (0.02)	0.78 (0.1)	0.0 (0.0)	0.04 (0.02)	0.18 (0.05)	0.0 (0.0)	0.62 (0.03)	0.37 (0.26)	0.0 (0.0)	46.68 (1.36)	0.5 (0.0)	0.0 (0.0)	36.99 (1.13)	0.5 (0.0)	0.0 (0.0)
enzymes	md_size__70	0.32 (0.04)	0.3 (0.07)	0.0 (0.0)	<b>0.77 (0.02)</b>	<b>0.87 (0.12)</b>	<b>0.38 (0.5)</b>	0.07 (0.03)	0.31 (0.11)	0.0 (0.0)	0.65 (0.03)	0.63 (0.27)	0.06 (0.25)	38.54 (1.39)	0.18 (0.08)	0.0 (0.0)	<b>28.68 (0.85)</b>	<b>0.18 (0.09)</b>	<b>0.0 (0.0)</b>
enzymes	mse_density__70	0.33 (0.03)	0.34 (0.16)	0.0 (0.0)	<b>0.77 (0.02)</b>	<b>0.91 (0.08)</b>	<b>0.38 (0.5)</b>	0.09 (0.05)	0.31 (0.09)	0.0 (0.0)	0.68 (0.04)	0.85 (0.13)	0.25 (0.45)	305.42 (10.79)	1.0 (0.0)	1.0 (0.0)	299.45 (11.45)	1.0 (0.0)	1.0 (0.0)
enzymes	mse_fixed__70	0.35 (0.04)	0.57 (0.16)	0.0 (0.0)	0.73 (0.03)	0.16 (0.09)	0.0 (0.0)	0.14 (0.06)	0.73 (0.14)	0.06 (0.25)	0.63 (0.05)	0.41 (0.25)	0.0 (0.0)	71.11 (3.99)	0.69 (0.04)	0.0 (0.0)	62.44 (3.97)	0.7 (0.04)	0.0 (0.0)
enzymes	mse_random__70	0.34 (0.03)	0.46 (0.11)	0.0 (0.0)	0.77 (0.02)	0.78 (0.12)	0.06 (0.25)	0.11 (0.05)	0.4 (0.07)	0.0 (0.0)	<b>0.69 (0.03)</b>	<b>0.89 (0.1)</b>	<b>0.19 (0.4)</b>	172.03 (6.61)	0.92 (0.0)	0.0 (0.0)	166.45 (7.53)	0.92 (0.0)	0.0 (0.0)
enzymes	mse_size__70	0.35 (0.04)	0.59 (0.16)	0.06 (0.25)	0.76 (0.03)	0.76 (0.18)	0.19 (0.4)	0.12 (0.05)	0.6 (0.2)	0.06 (0.25)	<b>0.68 (0.04)</b>	<b>0.81 (0.18)</b>	<b>0.38 (0.5)</b>	130.13 (5.07)	0.83 (0.0)	0.0 (0.0)	123.69 (5.41)	0.83 (0.0)	0.0 (0.0)
ern	ad_density__70	0.13 (0.03)	0.57 (0.19)	0.0 (0.0)	0.62 (0.02)	0.29 (0.13)	0.0 (0.0)	0.04 (0.01)	0.61 (0.32)	0.19 (0.4)	0.56 (0.03)	0.42 (0.21)	0.0 (0.0)	152.69 (9.58)	0.47 (0.11)	0.0 (0.0)	148.73 (10.4)	0.46 (0.11)	0.0 (0.0)
ern	ad_fixed__70	0.13 (0.03)	0.53 (0.18)	0.0 (0.0)	0.62 (0.02)	0.25 (0.15)	0.0 (0.0)	0.03 (0.01)	0.55 (0.25)	0.06 (0.25)	0.55 (0.03)	0.33 (0.19)	0.0 (0.0)	153.36 (10.22)	0.48 (0.08)	0.0 (0.0)	149.46 (11.16)	0.48 (0.08)	0.0 (0.0)
ern	ad_random__70	0.13 (0.03)	0.62 (0.25)	0.06 (0.25)	0.62 (0.02)	0.35 (0.21)	0.0 (0.0)	0.04 (0.01)	0.59 (0.23)	0.06 (0.25)	0.56 (0.04)	0.49 (0.27)	0.12 (0.34)	145.43 (12.12)	0.35 (0.09)	0.0 (0.0)	141.38 (13.14)	0.36 (0.1)	0.0 (0.0)
ern	ad_size__70	<b>0.13 (0.03)</b>	<b>0.73 (0.18)</b>	<b>0.12 (0.34)</b>	0.62 (0.02)	0.3 (0.14)	0.0 (0.0)	0.04 (0.01)	0.58 (0.33)	0.12 (0.34)	0.55 (0.03)	0.34 (0.26)	0.06 (0.25)	132.56 (11.0)	0.21 (0.05)	0.0 (0.0)	128.24 (12.04)	0.21 (0.05)	0.0 (0.0)
ern	md_density__70	0.13 (0.03)	0.56 (0.31)	0.06 (0.25)	<b>0.66 (0.03)</b>	<b>0.94 (0.08)</b>	<b>0.5 (0.52)</b>	0.03 (0.01)	0.61 (0.35)	0.25 (0.45)	<b>0.59 (0.03)</b>	<b>0.83 (0.27)</b>	<b>0.25 (0.45)</b>	133.25 (4.15)	0.22 (0.06)	0.0 (0.0)	129.12 (4.55)	0.22 (0.06)	0.0 (0.0)
ern	md_fixed__70	<b>0.13 (0.03)</b>	<b>0.8 (0.17)</b>	<b>0.25 (0.45)</b>	0.62 (0.02)	0.34 (0.15)	0.0 (0.0)	0.03 (0.01)	0.57 (0.29)	0.06 (0.25)	0.56 (0.03)	0.42 (0.26)	0.0 (0.0)	594.12 (62.32)	1.0 (0.0)	1.0 (0.0)	589.68 (63.19)	1.0 (0.0)	1.0 (0.0)
ern	md_random__70	<b>0.14 (0.03)</b>	<b>0.76 (0.25)</b>	<b>0.38 (0.5)</b>	<b>0.66 (0.03)</b>	<b>0.95 (0.06)</b>	<b>0.5 (0.52)</b>	0.03 (0.01)	0.55 (0.3)	0.0 (0.0)	0.59 (0.03)	0.8 (0.22)	0.19 (0.4)	156.43 (7.77)	0.53 (0.09)	0.0 (0.0)	152.48 (8.17)	0.52 (0.1)	0.0 (0.0)
ern	md_size__70	<b>0.13 (0.03)</b>	<b>0.72 (0.21)</b>	<b>0.06 (0.25)</b>	0.65 (0.03)	0.84 (0.07)	0.0 (0.0)	0.03 (0.01)	0.47 (0.13)	0.0 (0.0)	0.57 (0.02)	0.58 (0.17)	0.0 (0.0)	<b>110.71 (5.68)</b>	<b>0.08 (0.0)</b>	<b>0.0 (0.0)</b>	<b>106.77 (6.23)</b>	<b>0.08 (0.0)</b>	<b>0.0 (0.0)</b>
ern	mse_density__70	0.11 (0.02)	0.12 (0.07)	0.0 (0.0)	0.64 (0.02)	0.68 (0.08)	0.0 (0.0)	0.03 (0.01)	0.55 (0.32)	0.06 (0.25)	0.58 (0.03)	0.69 (0.28)	0.19 (0.4)	269.8 (17.33)	0.87 (0.04)	0.0 (0.0)	266.23 (17.81)	0.87 (0.04)	0.0 (0.0)
ern	mse_fixed__70	0.13 (0.03)	0.53 (0.28)	0.06 (0.25)	0.62 (0.03)	0.25 (0.15)	0.0 (0.0)	0.03 (0.01)	0.54 (0.33)	0.06 (0.25)	0.55 (0.02)	0.34 (0.2)	0.0 (0.0)	274.32 (35.26)	0.88 (0.04)	0.0 (0.0)	269.77 (36.38)	0.88 (0.04)	0.0 (0.0)
ern	mse_random__70	0.11 (0.03)	0.26 (0.18)	0.0 (0.0)	0.64 (0.03)	0.69 (0.09)	0.0 (0.0)	0.03 (0.01)	0.47 (0.27)	0.06 (0.25)	0.57 (0.02)	0.62 (0.24)	0.06 (0.25)	227.55 (14.38)	0.75 (0.0)	0.0 (0.0)	223.85 (14.92)	0.75 (0.0)	0.0 (0.0)
ern	mse_size__70	0.12 (0.02)	0.3 (0.14)	0.0 (0.0)	0.64 (0.03)	0.62 (0.08)	0.0 (0.0)	0.03 (0.01)	0.42 (0.3)	0.06 (0.25)	0.57 (0.02)	0.64 (0.29)	0.12 (0.34)	167.44 (12.9)	0.65 (0.04)	0.0 (0.0)	163.84 (13.52)	0.65 (0.03)	0.0 (0.0)
gpcr	ad_density__70	<b>0.21 (0.04)</b>	<b>0.81 (0.18)</b>	<b>0.25 (0.45)</b>	0.7 (0.03)	0.45 (0.31)	0.06 (0.25)	<b>0.13 (0.08)</b>	<b>0.62 (0.29)</b>	<b>0.19 (0.4)</b>	0.67 (0.07)	0.45 (0.27)	0.06 (0.25)	2.58 (0.25)	0.36 (0.04)	0.0 (0.0)	2.36 (0.25)	0.36 (0.04)	0.0 (0.0)
gpcr	ad_fixed__70	<b>0.21 (0.04)</b>	<b>0.75 (0.22)</b>	<b>0.19 (0.4)</b>	0.71 (0.03)	0.53 (0.29)	0.06 (0.25)	<b>0.13 (0.08)</b>	<b>0.56 (0.28)</b>	<b>0.06 (0.25)</b>	0.69 (0.07)	0.59 (0.31)	0.06 (0.25)	<b>1.77 (0.13)</b>	<b>0.1 (0.03)</b>	<b>0.0 (0.0)</b>	<b>1.52 (0.11)</b>	<b>0.1 (0.03)</b>	<b>0.0 (0.0)</b>
gpcr	ad_random__70	<b>0.21 (0.04)</b>	<b>0.78 (0.15)</b>	<b>0.12 (0.34)</b>	0.7 (0.03)	0.45 (0.26)	0.0 (0.0)	<b>0.13 (0.07)</b>	<b>0.64 (0.15)</b>	<b>0.0 (0.0)</b>	0.68 (0.07)	0.5 (0.22)	0.0 (0.0)	2.78 (0.27)	0.44 (0.05)	0.0 (0.0)	2.57 (0.26)	0.44 (0.05)	0.0 (0.0)
gpcr	ad_size__70	<b>0.21 (0.04)</b>	<b>0.73 (0.23)</b>	<b>0.12 (0.34)</b>	0.71 (0.03)	0.48 (0.31)	0.12 (0.34)	<b>0.13 (0.08)</b>	<b>0.68 (0.25)</b>	<b>0.12 (0.34)</b>	0.68 (0.07)	0.46 (0.23)	0.06 (0.25)	2.78 (0.33)	0.45 (0.07)	0.0 (0.0)	2.57 (0.34)	0.45 (0.07)	0.0 (0.0)
gpcr	md_density__70	0.18 (0.03)	0.09 (0.03)	0.0 (0.0)	0.71 (0.03)	0.5 (0.31)	0.0 (0.0)	0.09 (0.06)	0.33 (0.31)	0.06 (0.25)	0.67 (0.07)	0.41 (0.28)	0.0 (0.0)	5.22 (0.45)	0.96 (0.04)	0.5 (0.52)	5.0 (0.44)	0.96 (0.04)	0.5 (0.52)
gpcr	md_fixed__70	<b>0.21 (0.03)</b>	<b>0.75 (0.17)</b>	<b>0.19 (0.4)</b>	0.71 (0.03)	0.48 (0.27)	0.0 (0.0)	<b>0.12 (0.07)</b>	<b>0.58 (0.24)</b>	<b>0.06 (0.25)</b>	0.67 (0.05)	0.36 (0.21)	0.0 (0.0)	1.85 (0.17)	0.15 (0.03)	0.0 (0.0)	1.62 (0.17)	0.15 (0.03)	0.0 (0.0)
gpcr	md_random__70	0.19 (0.03)	0.28 (0.15)	0.0 (0.0)	0.71 (0.03)	0.65 (0.33)	0.19 (0.4)	0.09 (0.05)	0.33 (0.21)	0.0 (0.0)	0.68 (0.07)	0.52 (0.31)	0.06 (0.25)	4.1 (0.34)	0.76 (0.02)	0.0 (0.0)	3.88 (0.34)	0.76 (0.02)	0.0 (0.0)
gpcr	md_size__70	0.2 (0.03)	0.48 (0.22)	0.0 (0.0)	0.71 (0.03)	0.71 (0.26)	0.25 (0.45)	0.1 (0.05)	0.34 (0.26)	0.0 (0.0)	0.69 (0.06)	0.49 (0.3)	0.12 (0.34)	3.13 (0.32)	0.61 (0.04)	0.0 (0.0)	2.92 (0.32)	0.61 (0.04)	0.0 (0.0)
gpcr	mse_density__70	0.19 (0.03)	0.38 (0.24)	0.0 (0.0)	0.71 (0.02)	0.56 (0.26)	0.06 (0.25)	<b>0.12 (0.05)</b>	<b>0.62 (0.26)</b>	<b>0.19 (0.4)</b>	<b>0.73 (0.05)</b>	<b>0.82 (0.16)</b>	<b>0.19 (0.4)</b>	5.21 (0.48)	0.96 (0.04)	0.5 (0.52)	4.98 (0.48)	0.96 (0.04)	0.5 (0.52)
gpcr	mse_fixed__70	0.21 (0.04)	0.62 (0.23)	0.12 (0.34)	0.7 (0.03)	0.43 (0.26)	0.0 (0.0)	0.12 (0.07)	0.55 (0.34)	0.19 (0.4)	0.67 (0.06)	0.45 (0.28)	0.0 (0.0)	2.13 (0.17)	0.25 (0.0)	0.0 (0.0)	1.9 (0.16)	0.25 (0.0)	0.0 (0.0)
gpcr	mse_random__70	0.2 (0.03)	0.44 (0.16)	0.0 (0.0)	0.71 (0.02)	0.64 (0.21)	0.06 (0.25)	<b>0.13 (0.05)</b>	<b>0.6 (0.3)</b>	<b>0.06 (0.25)</b>	<b>0.72 (0.07)</b>	<b>0.72 (0.27)</b>	<b>0.19 (0.4)</b>	4.29 (0.38)	0.83 (0.02)	0.0 (0.0)	4.07 (0.37)	0.83 (0.02)	0.0 (0.0)
gpcr	mse_size__70	0.19 (0.03)	0.38 (0.17)	0.0 (0.0)	0.71 (0.02)	0.61 (0.3)	0.19 (0.4)	<b>0.13 (0.07)</b>	<b>0.65 (0.26)</b>	<b>0.06 (0.25)</b>	<b>0.72 (0.06)</b>	<b>0.72 (0.28)</b>	<b>0.25 (0.45)</b>	3.25 (0.25)	0.64 (0.04)	0.0 (0.0)	3.02 (0.25)	0.64 (0.04)	0.0 (0.0)
ion_channels	ad_density__70	0.33 (0.04)	0.58 (0.21)	0.0 (0.0)	0.73 (0.02)	0.3 (0.12)	0.0 (0.0)	<b>0.16 (0.08)</b>	<b>0.69 (0.25)</b>	<b>0.06 (0.25)</b>	0.66 (0.05)	0.58 (0.23)	0.06 (0.25)	5.1 (0.21)	0.39 (0.08)	0.0 (0.0)	4.65 (0.21)	0.39 (0.07)	0.0 (0.0)
ion_channels	ad_fixed__70	0.33 (0.04)	0.53 (0.23)	0.06 (0.25)	0.73 (0.02)	0.32 (0.17)	0.0 (0.0)	0.16 (0.08)	0.6 (0.28)	0.12 (0.34)	0.65 (0.06)	0.46 (0.27)	0.06 (0.25)	<b>3.48 (0.13)</b>	<b>0.08 (0.0)</b>	<b>0.0 (0.0)</b>	<b>2.94 (0.11)</b>	<b>0.08 (0.0)</b>	<b>0.0 (0.0)</b>
ion_channels	ad_random__70	0.33 (0.04)	0.58 (0.19)	0.0 (0.0)	0.73 (0.02)	0.23 (0.12)	0.0 (0.0)	<b>0.16 (0.08)</b>	<b>0.67 (0.22)</b>	<b>0.12 (0.34)</b>	0.65 (0.06)	0.45 (0.26)	0.06 (0.25)	5.24 (0.26)	0.45 (0.07)	0.0 (0.0)	4.83 (0.28)	0.47 (0.07)	0.0 (0.0)
ion_channels	ad_size__70	0.33 (0.04)	0.53 (0.22)	0.0 (0.0)	0.73 (0.02)	0.23 (0.1)	0.0 (0.0)	<b>0.16 (0.07)</b>	<b>0.64 (0.22)</b>	<b>0.06 (0.25)</b>	0.65 (0.05)	0.41 (0.17)	0.0 (0.0)	5.0 (0.19)	0.32 (0.08)	0.0 (0.0)	4.52 (0.18)	0.33 (0.08)	0.0 (0.0)
