dataset	estimator	LT+TL_average_precision	LT+TL_average_precision_rank	LT+TL_average_precision_victories	LT+TL_roc_auc	LT+TL_roc_auc_rank	LT+TL_roc_auc_victories	TT_average_precision	TT_average_precision_rank	TT_average_precision_victories	TT_roc_auc	TT_roc_auc_rank	TT_roc_auc_victories	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories
all_datasets	mse_random__90	0.45 (0.13)	0.39 (0.24)	0.0 (0.0)	0.49 (0.11)	0.51 (0.22)	0.0 (0.0)	0.52 (0.11)	0.5 (0.3)	0.0 (0.0)	0.57 (0.09)	0.57 (0.23)	0.0 (0.0)	0.7 (0.14)	0.7 (0.18)	0.0 (0.0)	0.7 (0.16)	0.7 (0.2)	0.0 (0.0)
all_datasets	mse_size__90	0.45 (0.13)	0.4 (0.23)	0.0 (0.0)	0.49 (0.12)	0.49 (0.24)	0.0 (0.0)	0.52 (0.11)	0.5 (0.3)	0.0 (0.0)	0.57 (0.09)	0.57 (0.23)	0.0 (0.0)	0.68 (0.15)	0.66 (0.15)	0.0 (0.0)	0.68 (0.17)	0.62 (0.2)	0.0 (0.0)
davis	ad_density__90	0.19 (0.02)	0.54 (0.25)	0.0 (0.0)	0.65 (0.03)	0.29 (0.25)	0.0 (0.0)	<b>0.14 (0.04)</b>	<b>0.74 (0.18)</b>	<b>0.0 (0.0)</b>	0.64 (0.04)	0.53 (0.28)	0.0 (0.0)	2.78 (0.23)	0.21 (0.07)	0.0 (0.0)	2.32 (0.23)	0.22 (0.06)	0.0 (0.0)
davis	ad_fixed__90	0.18 (0.03)	0.39 (0.28)	0.06 (0.25)	0.65 (0.02)	0.48 (0.29)	0.12 (0.34)	<b>0.14 (0.04)</b>	<b>0.55 (0.39)</b>	<b>0.31 (0.48)</b>	0.64 (0.04)	0.57 (0.35)	0.25 (0.45)	3.46 (0.25)	0.36 (0.05)	0.0 (0.0)	3.03 (0.28)	0.36 (0.05)	0.0 (0.0)
davis	ad_random__90	0.19 (0.02)	0.54 (0.25)	0.0 (0.0)	0.65 (0.03)	0.3 (0.25)	0.0 (0.0)	<b>0.14 (0.04)</b>	<b>0.74 (0.18)</b>	<b>0.0 (0.0)</b>	0.64 (0.04)	0.53 (0.28)	0.0 (0.0)	<b>2.65 (0.22)</b>	<b>0.12 (0.04)</b>	<b>0.0 (0.0)</b>	<b>2.21 (0.22)</b>	<b>0.13 (0.06)</b>	<b>0.0 (0.0)</b>
davis	ad_size__90	0.19 (0.02)	0.54 (0.25)	0.0 (0.0)	0.65 (0.03)	0.29 (0.26)	0.0 (0.0)	<b>0.14 (0.04)</b>	<b>0.74 (0.18)</b>	<b>0.0 (0.0)</b>	0.64 (0.04)	0.53 (0.28)	0.0 (0.0)	2.72 (0.2)	0.17 (0.06)	0.0 (0.0)	<b>2.23 (0.22)</b>	<b>0.15 (0.05)</b>	<b>0.0 (0.0)</b>
davis	md_density__90	<b>0.19 (0.02)</b>	<b>0.78 (0.17)</b>	<b>0.0 (0.0)</b>	<b>0.66 (0.03)</b>	<b>0.79 (0.15)</b>	<b>0.0 (0.0)</b>	<b>0.14 (0.04)</b>	<b>0.55 (0.25)</b>	<b>0.0 (0.0)</b>	0.65 (0.04)	0.55 (0.31)	0.0 (0.0)	5.06 (1.12)	0.56 (0.17)	0.06 (0.25)	4.66 (1.13)	0.56 (0.17)	0.06 (0.25)
davis	md_fixed__90	<b>0.19 (0.02)</b>	<b>0.78 (0.17)</b>	<b>0.0 (0.0)</b>	<b>0.66 (0.03)</b>	<b>0.79 (0.15)</b>	<b>0.0 (0.0)</b>	<b>0.14 (0.04)</b>	<b>0.56 (0.25)</b>	<b>0.0 (0.0)</b>	0.65 (0.04)	0.56 (0.29)	0.0 (0.0)	5.34 (0.75)	0.59 (0.14)	0.06 (0.25)	4.96 (0.76)	0.58 (0.14)	0.06 (0.25)
davis	md_random__90	<b>0.19 (0.02)</b>	<b>0.77 (0.17)</b>	<b>0.0 (0.0)</b>	<b>0.66 (0.03)</b>	<b>0.78 (0.15)</b>	<b>0.0 (0.0)</b>	<b>0.14 (0.04)</b>	<b>0.56 (0.25)</b>	<b>0.0 (0.0)</b>	0.65 (0.04)	0.56 (0.29)	0.0 (0.0)	5.08 (1.12)	0.58 (0.18)	0.0 (0.0)	4.69 (1.12)	0.58 (0.18)	0.0 (0.0)
davis	md_size__90	<b>0.19 (0.02)</b>	<b>0.78 (0.17)</b>	<b>0.0 (0.0)</b>	<b>0.66 (0.03)</b>	<b>0.79 (0.15)</b>	<b>0.0 (0.0)</b>	<b>0.14 (0.04)</b>	<b>0.56 (0.25)</b>	<b>0.0 (0.0)</b>	0.65 (0.04)	0.56 (0.29)	0.0 (0.0)	5.27 (0.83)	0.55 (0.12)	0.0 (0.0)	4.89 (0.84)	0.56 (0.11)	0.0 (0.0)
davis	mse_density__90	0.18 (0.02)	0.35 (0.19)	0.0 (0.0)	0.65 (0.02)	0.49 (0.18)	0.0 (0.0)	0.13 (0.04)	0.38 (0.24)	0.0 (0.0)	0.63 (0.03)	0.55 (0.26)	0.0 (0.0)	6.12 (0.44)	0.89 (0.14)	0.44 (0.51)	5.75 (0.44)	0.89 (0.14)	0.38 (0.5)
davis	mse_fixed__90	0.18 (0.02)	0.34 (0.2)	0.0 (0.0)	0.65 (0.02)	0.49 (0.18)	0.0 (0.0)	0.13 (0.04)	0.37 (0.24)	0.0 (0.0)	0.63 (0.03)	0.53 (0.26)	0.0 (0.0)	6.09 (0.45)	0.83 (0.16)	0.31 (0.48)	5.69 (0.49)	0.83 (0.17)	0.31 (0.48)
davis	mse_random__90	0.18 (0.02)	0.35 (0.19)	0.0 (0.0)	0.65 (0.02)	0.49 (0.18)	0.0 (0.0)	0.13 (0.04)	0.37 (0.24)	0.0 (0.0)	0.63 (0.03)	0.53 (0.26)	0.0 (0.0)	6.07 (0.37)	0.81 (0.09)	0.0 (0.0)	5.7 (0.4)	0.83 (0.08)	0.0 (0.0)
davis	mse_size__90	0.18 (0.02)	0.35 (0.19)	0.0 (0.0)	0.65 (0.02)	0.49 (0.18)	0.0 (0.0)	0.13 (0.04)	0.37 (0.24)	0.0 (0.0)	0.63 (0.03)	0.53 (0.26)	0.0 (0.0)	6.08 (0.38)	0.82 (0.14)	0.12 (0.34)	5.69 (0.41)	0.82 (0.15)	0.19 (0.4)
enzymes	ad_density__90	0.2 (0.03)	0.64 (0.27)	0.0 (0.0)	0.63 (0.02)	0.36 (0.18)	0.0 (0.0)	<b>0.07 (0.04)</b>	<b>0.66 (0.23)</b>	<b>0.0 (0.0)</b>	0.57 (0.03)	0.53 (0.23)	0.0 (0.0)	<b>31.32 (4.77)</b>	<b>0.14 (0.08)</b>	<b>0.0 (0.0)</b>	<b>18.64 (1.79)</b>	<b>0.14 (0.08)</b>	<b>0.0 (0.0)</b>
enzymes	ad_fixed__90	0.2 (0.03)	0.68 (0.41)	0.56 (0.51)	0.63 (0.02)	0.51 (0.26)	0.0 (0.0)	<b>0.07 (0.04)</b>	<b>0.68 (0.34)</b>	<b>0.44 (0.51)</b>	0.57 (0.03)	0.69 (0.33)	0.44 (0.51)	33.79 (4.45)	0.24 (0.1)	0.0 (0.0)	21.24 (2.43)	0.24 (0.08)	0.0 (0.0)
enzymes	ad_random__90	0.2 (0.03)	0.64 (0.27)	0.0 (0.0)	0.63 (0.02)	0.36 (0.18)	0.0 (0.0)	<b>0.07 (0.04)</b>	<b>0.66 (0.23)</b>	<b>0.0 (0.0)</b>	0.57 (0.03)	0.53 (0.23)	0.0 (0.0)	<b>31.23 (8.95)</b>	<b>0.21 (0.09)</b>	<b>0.0 (0.0)</b>	<b>19.51 (5.88)</b>	<b>0.23 (0.09)</b>	<b>0.0 (0.0)</b>
enzymes	ad_size__90	0.2 (0.03)	0.64 (0.27)	0.0 (0.0)	0.63 (0.02)	0.36 (0.18)	0.0 (0.0)	<b>0.07 (0.04)</b>	<b>0.66 (0.23)</b>	<b>0.0 (0.0)</b>	0.57 (0.03)	0.53 (0.23)	0.0 (0.0)	31.62 (9.0)	0.24 (0.09)	0.0 (0.0)	<b>19.33 (5.62)</b>	<b>0.22 (0.08)</b>	<b>0.0 (0.0)</b>
enzymes	md_density__90	0.2 (0.03)	0.52 (0.27)	0.0 (0.0)	<b>0.65 (0.02)</b>	<b>0.88 (0.0)</b>	<b>0.0 (0.0)</b>	0.06 (0.03)	0.39 (0.29)	0.0 (0.0)	0.57 (0.03)	0.52 (0.32)	0.0 (0.0)	43.62 (7.63)	0.69 (0.22)	0.06 (0.25)	33.35 (6.33)	0.64 (0.2)	0.0 (0.0)
enzymes	md_fixed__90	0.2 (0.03)	0.52 (0.27)	0.0 (0.0)	<b>0.65 (0.02)</b>	<b>0.88 (0.0)</b>	<b>0.0 (0.0)</b>	0.06 (0.03)	0.39 (0.29)	0.0 (0.0)	0.57 (0.03)	0.52 (0.32)	0.0 (0.0)	47.91 (4.72)	0.93 (0.08)	0.5 (0.52)	38.41 (4.01)	0.95 (0.04)	0.44 (0.51)
enzymes	md_random__90	0.2 (0.03)	0.52 (0.27)	0.0 (0.0)	<b>0.65 (0.02)</b>	<b>0.88 (0.0)</b>	<b>0.0 (0.0)</b>	0.06 (0.03)	0.39 (0.29)	0.0 (0.0)	0.57 (0.03)	0.52 (0.32)	0.0 (0.0)	43.23 (4.27)	0.59 (0.14)	0.06 (0.25)	34.26 (3.92)	0.61 (0.16)	0.0 (0.0)
enzymes	md_size__90	0.2 (0.03)	0.52 (0.27)	0.0 (0.0)	<b>0.65 (0.02)</b>	<b>0.88 (0.0)</b>	<b>0.0 (0.0)</b>	0.06 (0.03)	0.39 (0.29)	0.0 (0.0)	0.57 (0.03)	0.52 (0.32)	0.0 (0.0)	47.25 (5.1)	0.85 (0.18)	0.31 (0.48)	37.97 (3.98)	0.91 (0.14)	0.5 (0.52)
enzymes	mse_density__90	0.19 (0.03)	0.46 (0.24)	0.0 (0.0)	0.63 (0.02)	0.35 (0.13)	0.0 (0.0)	0.07 (0.03)	0.57 (0.22)	0.0 (0.0)	0.57 (0.03)	0.54 (0.25)	0.0 (0.0)	44.02 (3.86)	0.65 (0.1)	0.0 (0.0)	34.9 (3.33)	0.68 (0.12)	0.0 (0.0)
enzymes	mse_fixed__90	0.19 (0.03)	0.46 (0.24)	0.0 (0.0)	0.63 (0.02)	0.35 (0.13)	0.0 (0.0)	0.07 (0.03)	0.57 (0.22)	0.0 (0.0)	0.57 (0.03)	0.54 (0.25)	0.0 (0.0)	44.61 (3.82)	0.69 (0.13)	0.0 (0.0)	35.03 (2.97)	0.67 (0.13)	0.0 (0.0)
enzymes	mse_random__90	0.19 (0.03)	0.46 (0.24)	0.0 (0.0)	0.63 (0.02)	0.35 (0.13)	0.0 (0.0)	0.07 (0.03)	0.57 (0.22)	0.0 (0.0)	0.57 (0.03)	0.54 (0.25)	0.0 (0.0)	44.26 (2.86)	0.64 (0.17)	0.0 (0.0)	34.7 (2.74)	0.58 (0.1)	0.0 (0.0)
enzymes	mse_size__90	0.19 (0.03)	0.46 (0.24)	0.0 (0.0)	0.63 (0.02)	0.35 (0.13)	0.0 (0.0)	0.07 (0.03)	0.57 (0.22)	0.0 (0.0)	0.57 (0.03)	0.54 (0.25)	0.0 (0.0)	43.78 (2.82)	0.61 (0.2)	0.06 (0.25)	34.64 (2.88)	0.64 (0.19)	0.06 (0.25)
ern	ad_density__90	0.05 (0.01)	0.36 (0.22)	0.0 (0.0)	0.54 (0.01)	0.3 (0.25)	0.0 (0.0)	0.03 (0.01)	0.54 (0.29)	0.0 (0.0)	0.52 (0.02)	0.49 (0.31)	0.0 (0.0)	68.21 (7.03)	0.22 (0.06)	0.0 (0.0)	61.95 (8.08)	0.22 (0.06)	0.0 (0.0)
ern	ad_fixed__90	0.05 (0.01)	0.34 (0.29)	0.06 (0.25)	0.54 (0.01)	0.36 (0.25)	0.06 (0.25)	0.02 (0.01)	0.54 (0.41)	0.38 (0.5)	0.52 (0.02)	0.56 (0.39)	0.31 (0.48)	86.44 (10.54)	0.33 (0.0)	0.0 (0.0)	81.75 (11.22)	0.33 (0.0)	0.0 (0.0)
ern	ad_random__90	0.05 (0.01)	0.36 (0.22)	0.0 (0.0)	0.54 (0.01)	0.3 (0.25)	0.0 (0.0)	0.03 (0.01)	0.54 (0.29)	0.0 (0.0)	0.52 (0.02)	0.49 (0.31)	0.0 (0.0)	<b>59.31 (5.21)</b>	<b>0.1 (0.04)</b>	<b>0.0 (0.0)</b>	<b>53.18 (6.72)</b>	<b>0.1 (0.04)</b>	<b>0.0 (0.0)</b>
ern	ad_size__90	0.05 (0.01)	0.36 (0.22)	0.0 (0.0)	0.54 (0.01)	0.3 (0.25)	0.0 (0.0)	0.03 (0.01)	0.54 (0.29)	0.0 (0.0)	0.52 (0.02)	0.49 (0.31)	0.0 (0.0)	61.24 (4.82)	0.18 (0.05)	0.0 (0.0)	55.03 (6.0)	0.18 (0.05)	0.0 (0.0)
ern	md_density__90	<b>0.05 (0.01)</b>	<b>0.77 (0.23)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.01)</b>	<b>0.64 (0.23)</b>	<b>0.0 (0.0)</b>	0.03 (0.01)	0.55 (0.25)	0.0 (0.0)	0.52 (0.02)	0.48 (0.24)	0.0 (0.0)	232.63 (28.96)	0.81 (0.07)	0.0 (0.0)	227.92 (29.95)	0.81 (0.07)	0.0 (0.0)
ern	md_fixed__90	<b>0.05 (0.01)</b>	<b>0.77 (0.23)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.01)</b>	<b>0.64 (0.23)</b>	<b>0.0 (0.0)</b>	0.03 (0.01)	0.55 (0.25)	0.0 (0.0)	0.52 (0.02)	0.48 (0.24)	0.0 (0.0)	269.13 (48.04)	0.91 (0.11)	0.56 (0.51)	264.26 (48.67)	0.92 (0.11)	0.56 (0.51)
ern	md_random__90	<b>0.05 (0.01)</b>	<b>0.77 (0.23)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.01)</b>	<b>0.64 (0.23)</b>	<b>0.0 (0.0)</b>	0.03 (0.01)	0.55 (0.25)	0.0 (0.0)	0.52 (0.02)	0.48 (0.24)	0.0 (0.0)	232.9 (29.08)	0.83 (0.06)	0.0 (0.0)	228.19 (30.12)	0.83 (0.06)	0.0 (0.0)
ern	md_size__90	<b>0.05 (0.01)</b>	<b>0.77 (0.23)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.01)</b>	<b>0.64 (0.23)</b>	<b>0.0 (0.0)</b>	0.03 (0.01)	0.55 (0.25)	0.0 (0.0)	0.52 (0.02)	0.48 (0.24)	0.0 (0.0)	265.11 (31.63)	0.95 (0.05)	0.44 (0.51)	260.16 (32.59)	0.95 (0.05)	0.44 (0.51)
ern	mse_density__90	0.05 (0.01)	0.51 (0.2)	0.0 (0.0)	<b>0.54 (0.01)</b>	<b>0.67 (0.21)</b>	<b>0.0 (0.0)</b>	0.02 (0.01)	0.53 (0.27)	0.0 (0.0)	0.52 (0.01)	0.63 (0.25)	0.0 (0.0)	123.8 (18.38)	0.54 (0.11)	0.0 (0.0)	118.63 (18.67)	0.55 (0.11)	0.0 (0.0)
ern	mse_fixed__90	0.05 (0.01)	0.51 (0.2)	0.0 (0.0)	<b>0.54 (0.01)</b>	<b>0.67 (0.21)</b>	<b>0.0 (0.0)</b>	0.02 (0.01)	0.53 (0.27)	0.0 (0.0)	0.52 (0.01)	0.63 (0.25)	0.0 (0.0)	123.58 (13.53)	0.57 (0.07)	0.0 (0.0)	118.45 (14.95)	0.57 (0.08)	0.0 (0.0)
ern	mse_random__90	0.05 (0.01)	0.51 (0.2)	0.0 (0.0)	<b>0.54 (0.01)</b>	<b>0.67 (0.21)</b>	<b>0.0 (0.0)</b>	0.02 (0.01)	0.53 (0.27)	0.0 (0.0)	0.52 (0.01)	0.63 (0.25)	0.0 (0.0)	120.79 (14.07)	0.5 (0.06)	0.0 (0.0)	115.73 (15.32)	0.5 (0.05)	0.0 (0.0)
ern	mse_size__90	0.05 (0.01)	0.51 (0.2)	0.0 (0.0)	<b>0.54 (0.01)</b>	<b>0.67 (0.21)</b>	<b>0.0 (0.0)</b>	0.02 (0.01)	0.53 (0.27)	0.0 (0.0)	0.52 (0.01)	0.63 (0.25)	0.0 (0.0)	124.32 (16.2)	0.56 (0.11)	0.0 (0.0)	119.26 (17.09)	0.55 (0.11)	0.0 (0.0)
gpcr	ad_density__90	0.11 (0.02)	0.67 (0.25)	0.0 (0.0)	0.59 (0.02)	0.39 (0.21)	0.0 (0.0)	0.08 (0.04)	0.64 (0.31)	0.0 (0.0)	0.56 (0.05)	0.4 (0.28)	0.0 (0.0)	1.06 (0.07)	0.2 (0.06)	0.0 (0.0)	0.71 (0.06)	0.21 (0.07)	0.0 (0.0)
gpcr	ad_fixed__90	<b>0.12 (0.03)</b>	<b>0.79 (0.31)</b>	<b>0.56 (0.51)</b>	<b>0.6 (0.03)</b>	<b>0.82 (0.32)</b>	<b>0.69 (0.48)</b>	0.08 (0.04)	0.6 (0.38)	0.38 (0.5)	0.59 (0.05)	0.65 (0.37)	0.44 (0.51)	1.17 (0.07)	0.39 (0.09)	0.0 (0.0)	0.82 (0.06)	0.41 (0.11)	0.0 (0.0)
gpcr	ad_random__90	0.11 (0.02)	0.67 (0.25)	0.0 (0.0)	0.59 (0.02)	0.39 (0.21)	0.0 (0.0)	0.08 (0.04)	0.64 (0.31)	0.0 (0.0)	0.56 (0.05)	0.4 (0.28)	0.0 (0.0)	1.06 (0.09)	0.19 (0.09)	0.0 (0.0)	0.71 (0.07)	0.2 (0.06)	0.0 (0.0)
gpcr	ad_size__90	0.11 (0.02)	0.67 (0.25)	0.0 (0.0)	0.59 (0.02)	0.39 (0.21)	0.0 (0.0)	0.08 (0.04)	0.64 (0.31)	0.0 (0.0)	0.56 (0.05)	0.4 (0.28)	0.0 (0.0)	<b>1.03 (0.06)</b>	<b>0.12 (0.05)</b>	<b>0.0 (0.0)</b>	<b>0.68 (0.05)</b>	<b>0.1 (0.05)</b>	<b>0.0 (0.0)</b>
gpcr	md_density__90	0.11 (0.02)	0.64 (0.21)	0.0 (0.0)	0.6 (0.02)	0.6 (0.24)	0.0 (0.0)	0.08 (0.04)	0.49 (0.28)	0.0 (0.0)	0.57 (0.05)	0.6 (0.28)	0.0 (0.0)	1.2 (0.07)	0.44 (0.08)	0.0 (0.0)	0.84 (0.06)	0.42 (0.07)	0.0 (0.0)
gpcr	md_fixed__90	0.11 (0.02)	0.64 (0.21)	0.0 (0.0)	0.6 (0.02)	0.6 (0.24)	0.0 (0.0)	0.08 (0.04)	0.49 (0.28)	0.0 (0.0)	0.57 (0.05)	0.6 (0.28)	0.0 (0.0)	1.26 (0.08)	0.63 (0.06)	0.0 (0.0)	0.89 (0.06)	0.6 (0.06)	0.0 (0.0)
gpcr	md_random__90	0.11 (0.02)	0.64 (0.21)	0.0 (0.0)	0.6 (0.02)	0.6 (0.24)	0.0 (0.0)	0.08 (0.04)	0.49 (0.28)	0.0 (0.0)	0.57 (0.05)	0.6 (0.28)	0.0 (0.0)	1.19 (0.08)	0.44 (0.09)	0.0 (0.0)	0.84 (0.07)	0.43 (0.09)	0.0 (0.0)
gpcr	md_size__90	0.11 (0.02)	0.64 (0.21)	0.0 (0.0)	0.6 (0.02)	0.6 (0.24)	0.0 (0.0)	0.08 (0.04)	0.49 (0.28)	0.0 (0.0)	0.57 (0.05)	0.6 (0.28)	0.0 (0.0)	1.25 (0.07)	0.59 (0.1)	0.0 (0.0)	0.9 (0.06)	0.61 (0.09)	0.0 (0.0)
gpcr	mse_density__90	0.1 (0.02)	0.29 (0.15)	0.0 (0.0)	0.59 (0.02)	0.53 (0.28)	0.0 (0.0)	0.08 (0.04)	0.51 (0.21)	0.0 (0.0)	0.57 (0.03)	0.56 (0.22)	0.0 (0.0)	1.39 (0.08)	0.96 (0.06)	0.69 (0.48)	1.03 (0.09)	0.97 (0.06)	0.75 (0.45)
gpcr	mse_fixed__90	0.1 (0.02)	0.29 (0.15)	0.0 (0.0)	0.59 (0.02)	0.53 (0.28)	0.0 (0.0)	0.08 (0.04)	0.51 (0.21)	0.0 (0.0)	0.57 (0.03)	0.56 (0.22)	0.0 (0.0)	1.35 (0.08)	0.82 (0.09)	0.06 (0.25)	1.0 (0.08)	0.82 (0.07)	0.06 (0.25)
gpcr	mse_random__90	0.1 (0.02)	0.29 (0.15)	0.0 (0.0)	0.59 (0.02)	0.53 (0.28)	0.0 (0.0)	0.08 (0.04)	0.51 (0.21)	0.0 (0.0)	0.57 (0.03)	0.56 (0.22)	0.0 (0.0)	1.35 (0.09)	0.86 (0.08)	0.12 (0.34)	1.01 (0.09)	0.89 (0.07)	0.12 (0.34)
gpcr	mse_size__90	0.1 (0.02)	0.29 (0.15)	0.0 (0.0)	0.59 (0.02)	0.53 (0.28)	0.0 (0.0)	0.08 (0.04)	0.51 (0.21)	0.0 (0.0)	0.57 (0.03)	0.56 (0.22)	0.0 (0.0)	1.35 (0.09)	0.85 (0.09)	0.12 (0.34)	1.0 (0.08)	0.82 (0.09)	0.06 (0.25)
ion_channels	ad_density__90	0.15 (0.02)	0.33 (0.21)	0.0 (0.0)	0.6 (0.01)	0.27 (0.16)	0.0 (0.0)	0.1 (0.06)	0.48 (0.31)	0.0 (0.0)	0.58 (0.05)	0.35 (0.25)	0.0 (0.0)	<b>2.36 (0.2)</b>	<b>0.2 (0.17)</b>	<b>0.0 (0.0)</b>	<b>1.55 (0.07)</b>	<b>0.19 (0.18)</b>	<b>0.0 (0.0)</b>
ion_channels	ad_fixed__90	0.16 (0.02)	0.75 (0.23)	0.38 (0.5)	0.61 (0.01)	0.69 (0.19)	0.19 (0.4)	0.1 (0.06)	0.44 (0.36)	0.19 (0.4)	0.59 (0.05)	0.52 (0.36)	0.25 (0.45)	2.58 (0.31)	0.32 (0.12)	0.0 (0.0)	1.76 (0.19)	0.31 (0.11)	0.0 (0.0)
ion_channels	ad_random__90	0.15 (0.02)	0.33 (0.21)	0.0 (0.0)	0.6 (0.01)	0.27 (0.16)	0.0 (0.0)	0.1 (0.06)	0.48 (0.31)	0.0 (0.0)	0.58 (0.05)	0.35 (0.25)	0.0 (0.0)	<b>2.39 (0.39)</b>	<b>0.18 (0.1)</b>	<b>0.0 (0.0)</b>	1.69 (0.27)	0.21 (0.13)	0.0 (0.0)
ion_channels	ad_size__90	0.15 (0.02)	0.33 (0.21)	0.0 (0.0)	0.6 (0.01)	0.27 (0.16)	0.0 (0.0)	0.1 (0.06)	0.48 (0.31)	0.0 (0.0)	0.58 (0.05)	0.35 (0.25)	0.0 (0.0)	2.53 (0.44)	0.29 (0.13)	0.0 (0.0)	1.69 (0.26)	0.23 (0.08)	0.0 (0.0)
